SKU,Name,"In stock?","Regular price"
EF-ZG980CJEGW,"Capa Galaxy S20 Flip Clear View",1,7500
EF-ZG985CJEGW,"Capa Galaxy S20+ Clear Flip View",1,7500
EF-ZG996CBEGWW,"Capa protetora Galaxy S21+ Smart Clear View",1,7500
EF-ZN970CBEGWW,"Capa Galaxy Note 10 Flip Clear View",1,5000
EF-ZS901CBEGWW,"Capa Galaxy S22 Smart Clear View",1,22500
EF-ZS906CBEGWW,"Capa Galaxy S22+ Smart Clear View",1,22500
EF-ZS911CBEGWW,"Galaxy S23 Smart View Wallet Case (Preto)",1,32800
EF-ZS928CBEGWW,"Capa Galaxy S24 Ultra Smart View com bolso (Preto)",1,49800
EI-T5600BWEGWW,"Galaxy SmartTag2 Branca",1,
EO-IA500BBEGWW,"Auscultadores In-ear Samsung c/ micro e Jack 3.5mm",1,12900
EO-IC100BBEGWW,"AKG Auscultadores tipo-C Samsung",1,16800
EP-DN975BBEGWW,"5A USB-C to USB-C Cable (1m)",1,9500
EP-DX510JWEGWW,"CABO USB 5A (USB-C to USB-C) 1.8m",1,19900
EP-P5400TBEGWW,"CARREGADOR SAMSUNG SEM FIOS SUPER RÁPIDO DUPLO 15W",1,99000
EP-T4510XBEGWW,"Carregador USB-C 45W c/cabo",1,49800
EP-TA220NBEGWW,"Carregador Duo USB-C + USB 35W s/ cabo",1,34900
EP-TA800NBEGWW,"Adaptador Viagem (25W) Samsung",1,29000
ET-FA336TTEGWW,"Galaxy A33 Tempered Glass Screen Protector",1,5900
ET-FA536TTEGWW,"Galaxy A53 Tempered Glass Screen Protector",1,5900
ET-SFR82MBEGWW,"Galaxy Watch Active 2 Renaissance FKM Strap",1,2000
GP-FPA325WSABW,"PREMIUM HARD CASE A32 BLACK",1,8900
GP-OAU021AMDBW,"AKG Auscultadores tipo-C Samsung Preto Blister",1,9800
GP-TTA325KDATW,"TEMPERED GLASS A32",1,4900
GP-TTS911MVATW,"GALAXY S23 NORMAL TEMPERED GLASS SCREEN PROTECTOR",1,6800
SM-R177NZKAXFA,"Auscultadores Galaxy BUDS2 PRETO",1,149000
SM-R390NZAAXFA,"Galaxy Fit Band 3 - Cinza",1,"89800,00"
SM-R510NZAAXFA,"Auscultadores Galaxy BUDS2 Pro PRETO",1,"219000,00"
LF24T350FHAXXA,"MONITOR SAMSUNG 24"" FHD IPS FREESYNC 75HZ PRETO",1,198000
LH55WMBWBGCXEN,"FLIPCHART SAMSUNG 55"" 4K ULTRA HD TOUCH SCREEN WIFI BRANCO",1,2240000
LH65WMBWBGCXEN,"FLIPCHART SAMSUNG 65"" 4K ULTRA HD TOUCH SCREEN WIFI BRANCO",1,2840000
LS22A330NHMXZN,"MONITOR SAMSUNG 22"" FHD PRETO",1,118000
,"Galaxy S23 DS 8+128GB BEGE - Bege",1,899000
,"Galaxy S23 Ultra 5G DS 12+256GB PRETO - Preto",1,1780000
,"Galaxy A34 5G DS 6+128GB PRETO",1,498000
,"Galaxy S24 Ultra 5G DS 12+256GB PRETO",1,1999000
,"Galaxy Z Fold 5 5G DS 12+512GB",1,2980000
,"MAQUINA DE LAVAR ROUPA FL SAMSUNG (8KG - CINZENTA) - Cinza",1,1199000
,"MAQ DE LAVAR ROUPA FL SAMSUNG (7KG - Inox) - Cinza",1,1099000
,"MAQ DE LAVAR ROUPA FL SAMSUNG AI CONTROL+ADDWASH (8KG - Inox - Cinza",1,1399000
,"MAQ DE LAVAR ROUPA FL SAMSUNG AI CONTROL+ADDWASH (9KG-Inox) - Cinza",1,1599000
